T_K;cp;h;s0
273.15;1.009;275;6.815
288.15;1.01;290.1;6.869
323.15;1.012;325.5;6.985
373.15;1.016;376.1;7.131
423.15;1.022;427.1;7.259
473.15;1.03;478.4;7.374
523.15;1.04;530.1;7.478
573.15;1.051;582.4;7.573
623.15;1.063;635.3;7.661
673.15;1.075;688.7;7.744
723.15;1.087;742.7;7.821
773.15;1.099;797.4;7.894
823.15;1.111;852.6;7.964
873.15;1.122;908.4;8.029
923.15;1.133;964.8;8.092
973.15;1.143;1021.7;8.152
1023.15;1.153;1079.1;8.21
1073.15;1.162;1137;8.265
1123.15;1.17;1195.3;8.318
1173.15;1.178;1254;8.369
1223.15;1.186;1313.1;8.419
1273.15;1.193;1372.6;8.466
1323.15;1.2;1432.4;8.512
1373.15;1.206;1492.5;8.557
1423.15;1.212;1553;8.6
1473.15;1.217;1613.7;8.642
1523.15;1.222;1674.7;8.683
1573.15;1.227;1735.9;8.722
1623.15;1.232;1797.4;8.761
1673.15;1.236;1859.1;8.798
1723.15;1.241;1921;8.835
1773.15;1.244;1983.1;8.87
1873.15;1.252;2108;8.939
1973.15;1.259;2233.5;9.004
2073.15;1.265;2359.7;9.066
2173.15;1.271;2486.5;9.126
